truck,stop,offload,start
1,0,,
1,3,5500,
1,42,13250,
1,0,,
2,0,,
2,4,15500,
2,50,3500,
2,0,,
3,0,,
3,7,750,
3,14,4500,
3,29,4000,
3,43,8250,
3,0,,
4,0,,
4,12,3250,
4,39,8750,
4,9,2000,
4,22,4750,
4,0,,
5,0,,
5,16,750,
5,30,3250,
5,45,9500,
5,44,6500,
5,0,,
6,0,,
6,17,4000,
6,5,1500,
6,20,100,
6,25,14250,
6,0,,
7,0,,
7,19,14750,
7,10,2000,
7,11,2500,
7,0,,
8,0,,
8,24,6750,
8,23,6500,
8,41,6750,
8,0,,
9,0,,
9,26,20000,
9,0,,
10,0,,
10,26,5800,
10,8,13750,
10,0,,
11,0,,
11,28,3750,
11,2,3250,
11,21,10000,
11,36,2000,
11,0,,
12,0,,
12,29,10000,
12,15,9750,
12,0,,
13,0,,
13,31,8250,
13,49,7500,
13,27,2500,
13,0,,
14,0,,
14,32,15000,
14,6,3250,
14,0,,
15,0,,
15,35,1500,
15,18,13250,
15,34,1250,
15,1,2500,
15,0,,
16,0,,
16,38,18750,
16,0,,
17,0,,
17,40,13500,
17,48,4000,
17,0,,
18,0,,
18,46,3500,
18,13,6250,
18,37,5750,
18,33,3250,
18,0,,
19,0,,
19,47,16900,
19,0,,
20,0,,
20,47,20000,
20,0,,
