truck,stop,offload,Arrival,start
1,0,,,
1,2,3250,89.83,834
1,41,6750,888.18,959
1,38,10000,1016.61,1045
1,0,,,
2,0,,,
2,26,5800,8.65,99
2,8,13750,121.02,401
2,0,,,
3,0,,,
3,16,750,80.03,80.03
3,30,3250,113.73,1078
3,32,10000,1124,1124
3,48,4000,1158.24,1238
3,36,2000,1245.67,1269
3,0,,,
4,0,,,
4,38,8750,29.22,1045
4,32,5000,1087.99,1088
4,27,2500,1173.31,1202
4,28,3750,1229.94,1277
4,0,,,
5,0,,,
5,23,6500,70.61,380
5,45,9500,444.12,597
5,0,,,
6,0,,,
6,26,20000,8.65,99
6,0,,,
7,-1,,,
7,29,14000,47.35,560
7,25,4250,599.45,656
7,-1,,,
8,-1,,,
8,21,10000,23.85,124
8,40,10000,156.78,156.78
8,-1,,,
9,-1,,,
9,47,20000,81.81,1378
9,-1,,,
10,-1,,,
10,25,10000,32.54,656
10,15,9750,688.76,756
10,-1,,,
11,-1,,,
11,3,5500,9.08,1168
11,24,6750,1190.3,1286
11,47,6900,1389.57,1389.57
11,-1,,,
12,-1,,,
12,50,3500,24.64,24.64
12,42,13250,101.17,222
12,-1,,,
13,-1,,,
13,14,4500,60.1,1084
13,4,15500,1190.47,1289
13,-1,,,
14,-1,,,
14,7,750,60.46,735
14,20,100,785.93,1086
14,43,8250,111.98,1316
14,47,10000,1373.91,1378
14,-1,,,
15,-1,,,
15,40,3500,19.66,154
15,31,8250,177.48,337
15,49,7500,393.37,393.37
15,-1,,,
16,-2,,,
16,18,3250,38.81,1027
16,17,4000,1125.17,1125.17
16,33,3250,1240.17,1245
16,39,8750,1308.35,1369
16,-2,,,
17,-2,,,
17,12,3250,52.72,299
17,46,3500,334.41,403
17,37,5750,424.86,460
17,9,2000,503.72,1133
17,-2,,,
18,-2,,,
18,13,6250,29.86,487
18,35,1500,569.84,569.84
18,11,2500,601.85,601.85
18,10,2000,631.96,631.96
18,34,1250,668.63,764
18,22,4750,828.31,1018
18,-2,,,
19,-2,,,
19,1,2500,21.13,127
19,5,1500,235.06,235.06
19,19,14750,313.55,933
19,-2,,,
20,-2,,,
20,6,3250,48.17,473
20,44,6500,486.77,875
20,18,10000,935.86,1027
20,-2,,,
