truck,stop,offload,start
1,0,,
1,11,2500,9:18
1,10,2000,10:03
1,19,14750,15:33
1,0,,
2,0,,
2,47,20000,22:58
2,0,,
3,0,,
3,5,1500,3:41
3,7,750,12:15
3,20,100,18:06
3,4,15500,21:29
3,0,,
4,0,,
4,26,12900,1:39
4,6,3250,7:53
4,28,3750,21:17
4,0,,
5,0,,
5,50,3500,0:21
5,31,8250,5:37
5,24,6750,21:26
5,0,,
6,0,,
6,35,1500,9:29
6,34,1250,12:44
6,18,13250,17:07
6,33,3250,20:45
6,0,,
7,0,,
7,26,6250,1:39
7,8,13750,6:41
7,0,,
8,0,,
8,12,3250,4:59
8,46,3500,6:43
8,13,6250,8:07
8,22,4750,16:58
8,9,2000,18:53
8,0,,
9,0,,
9,40,13500,2:34
9,48,4000,20:38
9,36,2000,21:09
9,0,,
10,0,,
10,1,2500,2:07
10,37,5750,7:40
10,44,6500,14:35
10,0,,
11,0,,
11,21,10000,2:04
11,17,4000,18:35
11,47,6000,22:58
11,0,,
12,0,,
12,29,14000,9:20
12,14,4500,18:04
12,0,,
13,0,,
13,38,18750,17:25
13,47,1250,22:58
13,0,,
14,0,,
14,15,9750,12:36
14,43,8250,21:56
14,0,,
15,0,,
15,25,14250,10:56
15,3,5500,19:28
15,0,,
16,0,,
16,45,9500,9:57
16,39,8750,22:49
16,0,,
17,0,,
17,16,750,0:23
17,32,15000,18:08
17,47,3750,22:58
17,0,,
18,0,,
18,49,7500,6:26
18,2,3250,13:54
18,30,3250,17:58
18,27,2500,20:02
18,0,,
19,0,,
19,42,13250,3:42
19,41,6750,15:59
19,0,,
20,0,,
20,26,6650,1:39
20,23,6500,6:20
20,47,5900,22:58
20,0,,
